Condition,Number of Trials
Cancer,242
Neurological and Mental Health,238
Cardiovascular and Metabolic Disease,225
"General Medicine, Healthcare Education & Support",130
Musculoskeletal Health,77
Gastrointestinal and Hepatic Disorders,47
Respiratory Conditions,45
Ophthalmology and Sensory Health,40
"Women's, Reproductive, and Maternal Health",38
Infectious Disease,31
Dental and Oral Health,30
Other,25
Human Behavior,24
Rheumatological and Autoimmune Disorders,10
Speech and Communication,10
