Country,Number of Studies
Germany,33
Switzerland,14
Sweden,19
South Korea,19
United States,303
Czechia,5
Italy,58
France,48
United Kingdom,29
China,149
Slovakia,1
Turkey,48
Austria,2
Tanzania,1
Taiwan,60
Netherlands,13
Singapore,22
Canada,48
Egypt,28
Malta,1
Nigeria,3
Argentina,1
Russia,10
Hong Kong,43
Greece,9
Kenya,3
Spain,50
Denmark,10
Indonesia,2
Norway,12
Australia,7
Romania,6
Lebanon,1
Belgium,10
Pakistan,9
Ireland,2
Cyprus,3
Poland,10
Portugal,8
Brazil,8
Mexico,4
Finland,3
Thailand,8
Malaysia,5
Ghana,1
India,5
Colombia,1
Iraq,2
Zimbabwe,1
Israel,6
Lithuania,2
Guatemala,1
New Zealand,2
Croatia,2
Bangladesh,1
Nepal,2
Macau,1
Japan,1
Saudi Arabia,1
Burkina Faso,1
Vietnam,1
Kazakhstan,1
Ethiopia,1
